epoch,model,aug_type,aug,vcp,loss,val_loss,accuracy,val_accuracy,translation,noise,edge_noise,rotation,swap,dist_1,dist_4,cos_1,cos_4
1,cnn,translation,0.0,0.0,1.7686117887496948,1.547959566116333,0.36145833134651184,0.43558332324028015,,,,,,,,,
2,cnn,translation,0.0,0.0,1.4798165559768677,1.440106749534607,0.4671458303928375,0.46974998712539673,,,,,,,,,
3,cnn,translation,0.0,0.0,1.375115990638733,1.3266123533248901,0.5080833435058594,0.5317500233650208,,,,,,,,,
4,cnn,translation,0.0,0.0,1.2890141010284424,1.2993173599243164,0.5426250100135803,0.5266666412353516,,,,,,,,,
5,cnn,translation,0.0,0.0,1.218329906463623,1.187572717666626,0.5676458477973938,0.5766666531562805,,,,,,,,,
6,cnn,translation,0.0,0.0,1.1439374685287476,1.1485737562179565,0.5961250066757202,0.5921666622161865,,,,,,,,,
7,cnn,translation,0.0,0.0,1.0856404304504395,1.0758272409439087,0.6177916526794434,0.6275833249092102,,,,,,,,,
8,cnn,translation,0.0,0.0,1.0201148986816406,1.047648549079895,0.645145833492279,0.6384166479110718,,,,,,,,,
9,cnn,translation,0.0,0.0,0.9667418599128723,1.0222837924957275,0.6627291440963745,0.6449166536331177,,,,,,,,,
10,cnn,translation,0.0,0.0,0.9091013073921204,0.9615060091018677,0.6862708330154419,0.6654999852180481,,,,,,,,,
11,cnn,translation,0.0,0.0,0.8577449321746826,0.9038921594619751,0.7065208554267883,0.690583348274231,,,,,,,,,
12,cnn,translation,0.0,0.0,0.8013110160827637,0.9284965991973877,0.7271041870117188,0.6820833086967468,,,,,,,,,
13,cnn,translation,0.0,0.0,0.7523929476737976,0.8194493651390076,0.7465000152587891,0.7247499823570251,,,,,,,,,
14,cnn,translation,0.0,0.0,0.7000371217727661,0.7984715700149536,0.7655624747276306,0.731083333492279,,,,,,,,,
15,cnn,translation,0.0,0.0,0.6515703201293945,0.7510823607444763,0.7850624918937683,0.7505833506584167,,,,,,,,,
16,cnn,translation,0.0,0.0,0.6036971807479858,0.7214546799659729,0.8031041622161865,0.7633333206176758,,,,,,,,,
17,cnn,translation,0.0,0.0,0.5527340769767761,0.692221999168396,0.8223333358764648,0.7714166641235352,,,,,,,,,
18,cnn,translation,0.0,0.0,0.5048287510871887,0.6342567205429077,0.8395416736602783,0.7950000166893005,,,,,,,,,
19,cnn,translation,0.0,0.0,0.46981051564216614,0.6070478558540344,0.851395845413208,0.8034999966621399,,,,,,,,,
20,cnn,translation,0.0,0.0,0.4226742684841156,0.5881397724151611,0.8699374794960022,0.8106666803359985,,,,,,,,,
21,cnn,translation,0.0,0.0,0.38409391045570374,0.5792995095252991,0.8830833435058594,0.8143333196640015,,,,,,,,,
22,cnn,translation,0.0,0.0,0.34838831424713135,0.5184974670410156,0.8960832953453064,0.8398333191871643,,,,,,,,,
23,cnn,translation,0.0,0.0,0.3154013454914093,0.45983654260635376,0.9068958163261414,0.8670833110809326,,,,,,,,,
24,cnn,translation,0.0,0.0,0.2824351489543915,0.4493942856788635,0.9194583296775818,0.8701666593551636,,,,,,,,,
25,cnn,translation,0.0,0.0,0.25093942880630493,0.4475729167461395,0.9290833473205566,0.8669999837875366,,,,,,,,,
26,cnn,translation,0.0,0.0,0.21930000185966492,0.4393358528614044,0.9399374723434448,0.8703333139419556,,,,,,,,,
27,cnn,translation,0.0,0.0,0.19790592789649963,0.3996135890483856,0.9455833435058594,0.8884166479110718,,,,,,,,,
28,cnn,translation,0.0,0.0,0.1697688102722168,0.38057711720466614,0.9558125138282776,0.8970833420753479,,,,,,,,,
29,cnn,translation,0.0,0.0,0.1545066237449646,0.34855082631111145,0.9596041440963745,0.9124999642372131,,,,,,,,,
30,cnn,translation,0.0,0.0,0.13582928478717804,0.3237450420856476,0.9647291302680969,0.9204166531562805,,,,,,,,,
31,cnn,translation,0.0,0.0,0.11599495261907578,0.3040129244327545,0.9715416431427002,0.9304166436195374,,,,,,,,,
32,cnn,translation,0.0,0.0,0.09624409675598145,0.2921781837940216,0.9778541326522827,0.937666654586792,,,,,,,,,
33,cnn,translation,0.0,0.0,0.08543314784765244,0.30347150564193726,0.9807291626930237,0.9354999661445618,,,,,,,,,
34,cnn,translation,0.0,0.0,0.06663084030151367,0.3083187937736511,0.9867083430290222,0.9348333477973938,,,,,,,,,
35,cnn,translation,0.0,0.0,0.06580372899770737,0.28676238656044006,0.9857082962989807,0.9422500133514404,,,,,,,,,
36,cnn,translation,0.0,0.0,0.052072204649448395,0.32490864396095276,0.9900833368301392,0.9296666383743286,,,,,,,,,
37,cnn,translation,0.0,0.0,0.049952831119298935,0.2915273606777191,0.9897499680519104,0.9461666345596313,,,,,,,,,
38,cnn,translation,0.0,0.0,0.042845871299505234,0.29550692439079285,0.9915416836738586,0.9432500004768372,,,,,,,,,
39,cnn,translation,0.0,0.0,0.044558294117450714,0.28880491852760315,0.9905624985694885,0.9480000138282776,,,,,,,,,
40,cnn,translation,0.0,0.0,0.04465422034263611,0.28143420815467834,0.9900000095367432,0.9512500166893005,,,,,,,,,
41,cnn,translation,0.0,0.0,0.018506519496440887,0.29370805621147156,0.9980832934379578,0.95333331823349,,,,,,,,,
42,cnn,translation,0.0,0.0,0.03602641075849533,0.39638540148735046,0.9911249876022339,0.9121666550636292,,,,,,,,,
43,cnn,translation,0.0,0.0,0.046948567032814026,0.2978515028953552,0.9879791736602783,0.9483333230018616,,,,,,,,,
44,cnn,translation,0.0,0.0,0.023457923904061317,0.3046635091304779,0.9956458210945129,0.9523333311080933,,,,,,,,,
45,cnn,translation,0.0,0.0,0.012378907762467861,0.3026525676250458,0.9987499713897705,0.9528332948684692,,,,,,,,,
46,cnn,translation,0.0,0.0,0.008952667005360126,0.2993772625923157,0.9993958473205566,0.9551666378974915,,,,,,,,,
47,cnn,translation,0.0,0.0,0.004164662677794695,0.3021177053451538,0.9998958110809326,0.9553333520889282,,,,,,,,,
48,cnn,translation,0.0,0.0,0.07373717427253723,0.35174259543418884,0.9758541584014893,0.9305832982063293,,,,,,,,,
49,cnn,translation,0.0,0.0,0.015559677965939045,0.2927590012550354,0.9974791407585144,0.9542499780654907,,,,,,,,,
50,cnn,translation,0.0,0.0,0.0047308108769357204,0.3405684232711792,0.9996041655540466,0.9489166736602783,,,,,,,,,
51,cnn,translation,0.0,0.0,0.007619332056492567,0.32305437326431274,0.9992291331291199,0.9539166688919067,,,,,,,,,
52,cnn,translation,0.0,0.0,0.06237666308879852,0.30890369415283203,0.9799374938011169,0.950333297252655,,,,,,,,,
53,cnn,translation,0.0,0.0,0.013248363509774208,0.29885661602020264,0.9976457953453064,0.9558333158493042,,,,,,,,,
54,cnn,translation,0.0,0.0,0.0022185235284268856,0.31018558144569397,1.0,0.9549166560173035,,,,,,,,,
55,cnn,translation,0.0,0.0,0.0015530772507190704,0.3167172074317932,1.0,0.9552499651908875,,,,,,,,,
56,cnn,translation,0.0,0.0,0.001249247812665999,0.3222394287586212,1.0,0.9551666378974915,,,,,,,,,
57,cnn,translation,0.0,0.0,0.0010879477486014366,0.3294180929660797,1.0,0.9552499651908875,,,,,,,,,
58,cnn,translation,0.0,0.0,0.0009257597266696393,0.3336171805858612,1.0,0.9545000195503235,,,,,,,,,
59,cnn,translation,0.0,0.0,0.000839115702547133,0.33924856781959534,1.0,0.9545000195503235,,,,,,,,,
60,cnn,translation,0.0,0.0,0.04134503751993179,0.6516515016555786,0.9882500171661377,0.8299999833106995,,,,,,,,,
61,cnn,translation,0.0,0.0,0.07741378992795944,0.3232649564743042,0.9757916331291199,0.95291668176651,,,,,,,,,
62,cnn,translation,0.0,0.0,0.0050514028407633305,0.3099672198295593,0.999750018119812,0.9557499885559082,,,,,,,,,
63,cnn,translation,0.0,0.0,0.001552447909489274,0.32185235619544983,1.0,0.9560832977294922,,,,,,,,,
64,cnn,translation,0.0,0.0,0.0011298711178824306,0.32862305641174316,1.0,0.9559999704360962,,,,,,,,,
65,cnn,translation,0.0,0.0,0.0009100927272811532,0.3341274559497833,1.0,0.956166684627533,,,,,,,,,
66,cnn,translation,0.0,0.0,0.0007643811404705048,0.34000852704048157,1.0,0.9559166431427002,,,,,,,,,
67,cnn,translation,0.0,0.0,0.0006517945439554751,0.34668704867362976,1.0,0.9566666483879089,,,,,,,,,
68,cnn,translation,0.0,0.0,0.0005688636447302997,0.34909969568252563,1.0,0.9559999704360962,,,,,,,,,
69,cnn,translation,0.0,0.0,0.000498883135151118,0.35471588373184204,1.0,0.956416666507721,,,,,,,,,
70,cnn,translation,0.0,0.0,0.00043659142102114856,0.36003273725509644,1.0,0.9559166431427002,,,,,,,,,
71,cnn,translation,0.0,0.0,0.0003783974680118263,0.3653230369091034,1.0,0.9559166431427002,,,,,,,,,
72,cnn,translation,0.0,0.0,0.000340044847689569,0.37201717495918274,1.0,0.956333339214325,,,,,,,,,
73,cnn,translation,0.0,0.0,0.11356991529464722,0.3122636377811432,0.9672291278839111,0.9545833468437195,,,,,,,,,
74,cnn,translation,0.0,0.0,0.0036267261020839214,0.3205282688140869,0.9998541474342346,0.9559999704360962,,,,,,,,,
75,cnn,translation,0.0,0.0,0.0012024779571220279,0.32959651947021484,1.0,0.9566666483879089,,,,,,,,,
76,cnn,translation,0.0,0.0,0.0008285988005809486,0.3383897542953491,1.0,0.956250011920929,,,,,,,,,
77,cnn,translation,0.0,0.0,0.000662946724332869,0.3449653387069702,1.0,0.9564999938011169,,,,,,,,,
78,cnn,translation,0.0,0.0,0.0005481973057612777,0.35103002190589905,1.0,0.9566666483879089,,,,,,,,,
79,cnn,translation,0.0,0.0,0.00046565604861825705,0.3561335504055023,1.0,0.9566666483879089,,,,,,,,,
80,cnn,translation,0.0,0.0,0.00039537635166198015,0.3620119094848633,1.0,0.9565833210945129,,,,,,,,,
81,cnn,translation,0.0,0.0,0.0003411989309825003,0.3676675856113434,1.0,0.9564999938011169,,,,,,,,,
82,cnn,translation,0.0,0.0,0.00029682740569114685,0.3719172775745392,1.0,0.9568333029747009,,,,,,,,,
83,cnn,translation,0.0,0.0,0.0002589575306046754,0.37718525528907776,1.0,0.9559999704360962,,,,,,,,,
84,cnn,translation,0.0,0.0,0.00022607385471928865,0.38456082344055176,1.0,0.9566666483879089,,,,,,,,,
85,cnn,translation,0.0,0.0,0.00019869736570399255,0.3872396647930145,1.0,0.9564999938011169,,,,,,,,,
86,cnn,translation,0.0,0.0,0.0852886512875557,0.41471511125564575,0.9743333458900452,0.9004999995231628,,,,,,,,,
87,cnn,translation,0.0,0.0,0.03504020348191261,0.3422307074069977,0.9896875023841858,0.9491666555404663,,,,,,,,,
88,cnn,translation,0.0,0.0,0.008836552500724792,0.3292768597602844,0.9983124732971191,0.956166684627533,,,,,,,,,
89,cnn,translation,0.0,0.0,0.0010550549486652017,0.3383485674858093,1.0,0.956166684627533,,,,,,,,,
90,cnn,translation,0.0,0.0,0.0006268738652579486,0.34622815251350403,1.0,0.9558333158493042,,,,,,,,,
91,cnn,translation,0.0,0.0,0.0004830245452467352,0.35317349433898926,1.0,0.9559999704360962,,,,,,,,,
92,cnn,translation,0.0,0.0,0.0003953824343625456,0.35898372530937195,1.0,0.956166684627533,,,,,,,,,
93,cnn,translation,0.0,0.0,0.00033189044916071,0.36604341864585876,1.0,0.9560832977294922,,,,,,,,,
94,cnn,translation,0.0,0.0,0.00028532458236441016,0.37044456601142883,1.0,0.9556666612625122,,,,,,,,,
95,cnn,translation,0.0,0.0,0.00024702129303477705,0.3755687177181244,1.0,0.9557499885559082,,,,,,,,,
96,cnn,translation,0.0,0.0,0.00021307262068148702,0.3817002773284912,1.0,0.9559166431427002,,,,,,,,,
97,cnn,translation,0.0,0.0,0.00018679698405321687,0.38659870624542236,1.0,0.9558333158493042,,,,,,,,,
98,cnn,translation,0.0,0.0,0.00016160504310391843,0.39203736186027527,1.0,0.9553333520889282,,,,,,,,,
99,cnn,translation,0.0,0.0,0.00014265766367316246,0.3958434462547302,1.0,0.9556666612625122,,,,,,,,,
100,cnn,translation,0.0,0.0,0.00012494793918449432,0.4026933014392853,1.0,0.9556666612625122,,,,,,,,,
101,cnn,translation,0.0,0.0,0.00010836919682333246,0.40477991104125977,1.0,0.9555000066757202,,,,,,,,,
102,cnn,translation,0.0,0.0,9.543146734358743e-05,0.4112163782119751,1.0,0.9553333520889282,,,,,,,,,
103,cnn,translation,0.0,0.0,8.398498175665736e-05,0.41743046045303345,1.0,0.9554166793823242,,,,,,,,,
104,cnn,translation,0.0,0.0,0.07568380236625671,0.427181601524353,0.979770839214325,0.8916666507720947,,,,,,,,,
105,cnn,translation,0.0,0.0,0.03229070082306862,0.329549640417099,0.9907291531562805,0.9544166326522827,,,,,,,,,
106,cnn,translation,0.0,0.0,0.0021654353477060795,0.33668291568756104,0.999916672706604,0.956333339214325,,,,,,,,,
